biomass_provider,plant_location
Pato Branco,Itapejara D'oeste
Clevelândia,Itapejara D'oeste
Mangueirinha,Itapejara D'oeste
Coronel Vivida,Itapejara D'oeste
Cerro Azul,Itapejara D'oeste
São João Do Triunfo,Lapa
Palmeira,Lapa
Itaperuçu,Lapa
Piraquara,Lapa
Bocaiúva Do Sul,Lapa
Piên,Lapa
Matinhos,Lapa
Pinhais,Lapa
Pontal Do Paraná,Lapa
Curitiba,Lapa
Antonina,Lapa
Paranaguá,Lapa
Morretes,Lapa
Quatro Barras,Lapa
Guaratuba,Lapa
Guaraqueçaba,Lapa
Campina Grande Do Sul,Lapa
Tunas Do Paraná,Lapa
Fazenda Rio Grande,Lapa
Rio Branco Do Sul,Lapa
Almirante Tamandaré,Lapa
São José Dos Pinhais,Lapa
Mandirituba,Lapa
Adrianópolis,Lapa
Agudos Do Sul,Lapa
Campo Do Tenente,Lapa
Antônio Olinto,Lapa
Porto Amazonas,Lapa
Tijucas Do Sul,Lapa
Rio Negro,Lapa
Quitandinha,Lapa
Balsa Nova,Lapa
Campo Largo,Lapa
Contenda,Lapa
Araucária,Lapa
Lapa,Lapa
Colombo,Lapa
Campo Magro,Lapa
Pérola,Palotina
São Jorge Do Patrocínio,Palotina
Esperança Nova,Palotina
Altônia,Palotina
Mercedes,Palotina
Cafezal Do Sul,Palotina
Entre Rios Do Oeste,Palotina
Quatro Pontes,Palotina
Iporã,Palotina
Francisco Alves,Palotina
Nova Santa Rosa,Palotina
Maripá,Palotina
Marechal Cândido Rondon,Palotina
Palotina,Palotina
Terra Roxa,Palotina
Pato Bragado,Palotina
Guaíra,Palotina
Inajá,Rolândia
Paranacity,Rolândia
Faxinal,Rolândia
Guaraci,Rolândia
Miraselva,Rolândia
Paranapoema,Rolândia
Itaguajé,Rolândia
Jardim Olinda,Rolândia
Atalaia,Rolândia
Santa Inês,Rolândia
Flórida,Rolândia
Nossa Senhora Das Graças,Rolândia
Cafeara,Rolândia
Jandaia Do Sul,Rolândia
Santo Inácio,Rolândia
Cruzmaltina,Rolândia
Borrazópolis,Rolândia
Lobato,Rolândia
Munhoz De Melo,Rolândia
Novo Itacolomi,Rolândia
Santa Fé,Rolândia
Iguaraçu,Rolândia
Cambira,Rolândia
Porecatu,Rolândia
Mauá Da Serra,Rolândia
Lupionópolis,Rolândia
Rio Bom,Rolândia
Califórnia,Rolândia
Pitangueiras,Rolândia
Jaguapitã,Rolândia
Centenário Do Sul,Rolândia
Sabáudia,Rolândia
Florestópolis,Rolândia
Prado Ferreira,Rolândia
Astorga,Rolândia
Apucarana,Rolândia
Marilândia Do Sul,Rolândia
Tamarana,Rolândia
Arapongas,Rolândia
Ibiporã,Rolândia
Rolândia,Rolândia
Bela Vista Do Paraíso,Rolândia
Alvorada Do Sul,Rolândia
Cambé,Rolândia
Londrina,Rolândia
Marumbi,Rolândia
Mandaguari,Rolândia
Colorado,Rolândia
Marialva,Rolândia
