biomass_provider,plant_location
Salto,Itapetininga
Elias Fausto,Itapetininga
Itu,Itapetininga
Piracicaba,Itapetininga
Angatuba,Itapetininga
Sarapuí,Itapetininga
São Miguel Arcanjo,Itapetininga
Pilar Do Sul,Itapetininga
Itapetininga,Itapetininga
Alambari,Itapetininga
Guareí,Itapetininga
Salto De Pirapora,Itapetininga
Votorantim,Itapetininga
Piedade,Itapetininga
Porangaba,Itapetininga
Araçoiaba Da Serra,Itapetininga
Capela Do Alto,Itapetininga
Boituva,Itapetininga
Sorocaba,Itapetininga
Cesário Lange,Itapetininga
Quadra,Itapetininga
Tatuí,Itapetininga
Mairinque,Itapetininga
Pereiras,Itapetininga
Conchas,Itapetininga
Cerquilho,Itapetininga
Pardinho,Itapetininga
Anhembi,Itapetininga
Porto Feliz,Itapetininga
Tietê,Itapetininga
Jumirim,Itapetininga
Laranjal Paulista,Itapetininga
Araçariguama,Itapetininga
Saltinho,Itapetininga
São Roque,Itapetininga
Ibiúna,Itapetininga
Alumínio,Itapetininga
Campina Do Monte Alegre,Itapetininga
Iguape,Itapetininga
Capão Bonito,Itapetininga
Sete Barras,Itapetininga
Registro,Itapetininga
Pariquera-Açu,Itapetininga
Bofete,Itapetininga
Iperó,Itapetininga
Cananéia,Itapetininga
Jacupiranga,Itapetininga
Ribeirão Grande,Itapetininga
Juquiá,Itapetininga
Eldorado,Itapetininga
Itariri,Itapetininga
Pedro De Toledo,Itapetininga
Miracatu,Itapetininga
Torre De Pedra,Itapetininga
Peruíbe,Itapeva
Itapirapuã Paulista,Itapeva
Barra Do Turvo,Itapeva
Itaoca,Itapeva
Bom Sucesso De Itararé,Itapeva
Ribeira,Itapeva
Iporanga,Itapeva
Nova Campina,Itapeva
Barra Do Chapéu,Itapeva
Itararé,Itapeva
Guapiara,Itapeva
Ribeirão Branco,Itapeva
Apiaí,Itapeva
Taquarivaí,Itapeva
Buri,Itapeva
Itapeva,Itapeva
Itaberá,Itapeva
