UF;Nome;CD;Lat;Long;Carga;Energia
ES;Vargem Alta;3205036;-41,004023;-20,646477;470;866,0224
PB;Curral de Cima;2505279;-35,284826;-6,73353;469;409,8816
RJ;Itaperuna;3302205;-41,89503;-21,224558;468;707,8272
PE;Tacaratu;2614808;-38,076491;-8,956799;467;497,89696
SC;Governador Celso Ramos;4206009;-48,579162;-27,372126;466;524,68928
PI;Sebastião Barros;2210623;-44,833361;-10,654342;466;583,46872
PI;Novo Oriente do Piauí;2206902;-41,976966;-6,500991;465;1058,30272
MG;Pedra Dourada;3149002;-42,154906;-20,827694;464;991,5136
MG;Barão de Monte Alto;3105509;-42,278433;-21,264787;464;1067,4752
PE;Vicência;2616308;-35,357224;-7,659526;462;457,61728
SE;Rosário do Catete;2806107;-37,035536;-10,682411;462;412,08256
SP;Fernando Prestes;3515608;-48,695668;-21,310275;462;681,38496
CE;Uruburetama;2313807;-39,515783;-3,622815;462;802,14784
ES;Itarana;3202900;-40,888987;-19,949812;462;724,71936
MG;Glaucilândia;3127354;-43,639275;-16,903863;461;806,3488
RS;Arroio do Padre;4301073;-52,397844;-31,440748;460;1028,876
AL;Jacuípe;2703502;-35,447135;-8,883654;459;388,4288
MG;José Gonçalves de Minas;3136520;-42,656135;-16,900187;458;702,2176
MG;Maria da Fé;3139904;-45,313539;-22,32247;458;1070,0928
BA;Pau Brasil;2923902;-39,690474;-15,468284;458;381,056
AM;Anamã;1300086;-61,716928;-3,502246;456;441,2672
PI;Alto Longá;2200301;-42,15498;-5,379079;456;820,87616
GO;Morro Agudo de Goiás;5213855;-50,011704;-15,311023;456;1059,1104
BA;Ibicaraí;2912103;-39,568453;-14,848768;455;378,56
RJ;Maricá;3302700;-42,816886;-22,915411;455;378,56
PI;Pau D'Arco do Piauí;2207793;-42,471009;-5,245474;454;656,39424
CE;Quixeré;2311504;-37,862397;-5,087459;454;919,1232
RS;São Pedro da Serra;4319356;-51,506322;-29,419646;453;935,6416
RJ;São José do Vale do Rio Preto;3305158;-42,93302;-22,16975;450;374,4
MG;Tabuleiro;3167905;-43,256172;-21,363355;450;750,3232
SP;Itariri;3523305;-47,12814;-24,292685;448;372,736
MG;Sobrália;3167707;-42,145858;-19,21823;446;774,43456
MG;Fortuna de Minas;3126406;-44,504241;-19,55758;446;568,8448
MA;Imperatriz;2105302;-47,575244;-5,339767;446;917,46176
SP;Dobrada;3514007;-48,357324;-21,516123;446;767,6056
